cik,fiscal_year,fiscal_quarter,eps_diluted,net_income,operating_income,revenue,ticker,sector
320193,2022.0,1.0,2.1,34630000000.0,49657000000.0,7248000000.0,AAPL,Technology
320193,2022.0,2.0,1.52,25010000000.0,8112000000.0,8806000000.0,AAPL,Technology
320193,2022.0,3.0,1.2,19442000000.0,5760000000.0,19604000000.0,AAPL,Technology
320193,2023.0,1.0,1.88,29998000000.0,10017000000.0,96388000000.0,AAPL,Technology
320193,2023.0,2.0,1.52,24160000000.0,28318000000.0,7168000000.0,AAPL,Technology
320193,2023.0,3.0,1.26,19881000000.0,6207000000.0,21213000000.0,AAPL,Technology
320193,2024.0,1.0,2.18,33916000000.0,8622000000.0,7780000000.0,AAPL,Technology
320193,2024.0,2.0,1.53,23636000000.0,3135000000.0,16372000000.0,AAPL,Technology
320193,2024.0,3.0,1.4,21448000000.0,25494000000.0,7162000000.0,AAPL,Technology
1551152,2022.0,1.0,2.51,4490000000.0,4717000000.0,13538000000.0,ABBV,Healthcare
1551152,2022.0,2.0,0.51,0.0,3295000000.0,14583000000.0,ABBV,Healthcare
1551152,2022.0,3.0,2.21,3949000000.0,4603000000.0,14812000000.0,ABBV,Healthcare
1551152,2023.0,1.0,0.13,239000000.0,475000000.0,12225000000.0,ABBV,Healthcare
1551152,2023.0,2.0,1.14,0.0,4513000000.0,13865000000.0,ABBV,Healthcare
1551152,2023.0,3.0,1.0,0.0,1953000000.0,13927000000.0,ABBV,Healthcare
1551152,2024.0,1.0,0.77,14000000.0,1755000000.0,12310000000.0,ABBV,Healthcare
1551152,2024.0,2.0,0.77,0.0,2146000000.0,14462000000.0,ABBV,Healthcare
1551152,2024.0,3.0,0.88,0.0,3831000000.0,14460000000.0,ABBV,Healthcare
796343,2022.0,1.0,2.66,1266000000.0,1580000000.0,680000000.0,ADBE,Technology
796343,2022.0,2.0,2.49,1178000000.0,1529000000.0,1095000000.0,ADBE,Technology
796343,2022.0,3.0,2.42,1136000000.0,1484000000.0,1143000000.0,ADBE,Technology
796343,2023.0,1.0,2.71,1247000000.0,1598000000.0,4655000000.0,ADBE,Technology
796343,2023.0,2.0,2.82,1295000000.0,1650000000.0,3511000000.0,ADBE,Technology
796343,2023.0,3.0,3.05,1403000000.0,1697000000.0,1229000000.0,ADBE,Technology
796343,2024.0,1.0,1.36,620000000.0,907000000.0,3110000000.0,ADBE,Technology
796343,2024.0,2.0,3.49,1573000000.0,1930000000.0,5060000000.0,ADBE,Technology
796343,2024.0,3.0,3.76,1684000000.0,2042000000.0,762000000.0,ADBE,Technology
318154,2022.0,1.0,2.68,1476000000.0,2500000000.0,27000000.0,AMGN,Healthcare
318154,2022.0,2.0,2.45,1317000000.0,2176000000.0,922000000.0,AMGN,Healthcare
318154,2022.0,3.0,3.98,-101000000.0,2660000000.0,590000000.0,AMGN,Healthcare
318154,2023.0,1.0,5.28,2841000000.0,1921000000.0,927000000.0,AMGN,Healthcare
318154,2023.0,2.0,2.57,68000000.0,2684000000.0,1028000000.0,AMGN,Healthcare
318154,2023.0,3.0,3.22,1730000000.0,2021000000.0,1637000000.0,AMGN,Healthcare
318154,2024.0,1.0,-0.21,-113000000.0,991000000.0,195000000.0,AMGN,Healthcare
318154,2024.0,2.0,1.38,746000000.0,1909000000.0,348000000.0,AMGN,Healthcare
318154,2024.0,3.0,5.22,2830000000.0,2047000000.0,460000000.0,AMGN,Healthcare
1018724,2022.0,1.0,-7.56,-3844000000.0,6518000000.0,7877000000.0,AMZN,Technology
1018724,2022.0,2.0,-0.07,-728000000.0,-1771000000.0,27065000000.0,AMZN,Technology
1018724,2022.0,3.0,0.28,2872000000.0,-412000000.0,59340000000.0,AMZN,Technology
1018724,2023.0,1.0,0.31,3172000000.0,-1247000000.0,9509000000.0,AMZN,Technology
1018724,2023.0,2.0,0.65,6750000000.0,3211000000.0,5024000000.0,AMZN,Technology
1018724,2023.0,3.0,0.94,9879000000.0,4307000000.0,32137000000.0,AMZN,Technology
1018724,2024.0,1.0,0.07,10431000000.0,15307000000.0,31935000000.0,AMZN,Technology
1018724,2024.0,2.0,1.26,13485000000.0,273000000.0,90033000000.0,AMZN,Technology
1018724,2024.0,3.0,0.06,15328000000.0,5663000000.0,27452000000.0,AMZN,Technology
315293,2022.0,1.0,4.73,1023000000.0,1367000000.0,1417000000.0,AON,Financial Services
315293,2022.0,2.0,2.33,501000000.0,633000000.0,343000000.0,AON,Financial Services
315293,2022.0,3.0,1.92,408000000.0,510000000.0,22000000.0,AON,Financial Services
315293,2023.0,1.0,5.07,1050000000.0,1342000000.0,554000000.0,AON,Financial Services
315293,2023.0,2.0,2.71,560000000.0,842000000.0,447000000.0,AON,Financial Services
315293,2023.0,3.0,2.23,456000000.0,560000000.0,479000000.0,AON,Financial Services
315293,2024.0,1.0,5.35,1093000000.0,1424000000.0,1167000000.0,AON,Financial Services
315293,2024.0,2.0,2.46,524000000.0,656000000.0,362000000.0,AON,Financial Services
315293,2024.0,3.0,1.57,355000000.0,449000000.0,499000000.0,AON,Financial Services
